source_id,Address,Town,Province,Source_type,Improvement,Source_status,Date_of_completion,Comments
AkRu08392224,1 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06849224,1 Fisi Nkrumah Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03723224,1 Lumumba Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05943224,1 Mbeki Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06744224,1 Mbuni Nyerere Avenue,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08062224,1 Milima Nyeusi Drive,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06359224,1 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08211224,1 Pwani Ya Utukufu Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06016224,1 Simba Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06130224,1 Tembo Mandela Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07429224,1 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05017224,10 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03012224,10 Dakar Crescent,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06949224,10 Fisi Nkrumah Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08223224,10 Freedom Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03207224,10 Kigali Place,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03579224,10 Koinange Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07953224,10 Maji Mema Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05797224,10 Mbeki Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08059224,10 Milima Nyeusi Drive,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04017224,10 Moi Avenue,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06523224,10 Popo Kamuzu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07129224,10 Simba Tutu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07413224,10 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04476224,100 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05881224,100 Mbeki Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06381224,100 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08096224,100 Pwani Ya Utukufu Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06066224,100 Simba Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07783224,100 Ukingo Wa Mto Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06846224,101 Fisi Nkrumah Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03561224,101 Koinange Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07108224,101 Simba Tutu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07785224,101 Ukingo Wa Mto Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08415224,102 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04414224,102 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05023224,102 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07901224,102 Maji Mema Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06399224,102 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05632224,102 Ramaphosa Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06114224,102 Simba Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07111224,102 Simba Tutu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06212224,102 Tembo Mandela Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07368224,102 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04513224,103 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04321224,103 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03776224,103 Lumumba Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07642224,103 Mto Wa Furaha Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06586224,103 Popo Kamuzu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06258224,103 Tembo Mandela Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08510224,104 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05022224,104 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06882224,104 Fisi Nkrumah Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08342224,104 Freedom Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08918224,104 Ladysmith Black Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
